down,keyCode,hours,minutes,seconds,milliseconds
true,ShiftLeft,16,32,12,632
true,Digit8,16,32,12,808
false,Digit8,16,32,12,931
false,ShiftLeft,16,32,13,11
true,KeyF,16,32,13,318
false,KeyF,16,32,13,423
true,KeyU,16,32,13,643
false,KeyU,16,32,13,741
true,ShiftLeft,16,32,13,876
true,KeyZ,16,32,14,93
false,KeyZ,16,32,14,195
true,KeyZ,16,32,14,344
false,KeyZ,16,32,14,453
false,ShiftLeft,16,32,14,688
true,KeyY,16,32,14,867
false,KeyY,16,32,14,969
true,KeyN,16,32,15,449
false,KeyN,16,32,15,555
true,Digit3,16,32,16,152
false,Digit3,16,32,16,299
true,KeyT,16,32,16,504
false,KeyT,16,32,16,603
true,KeyW,16,32,16,946
false,KeyW,16,32,17,72
true,KeyO,16,32,17,255
false,KeyO,16,32,17,374
true,KeyR,16,32,17,575
false,KeyR,16,32,17,675
true,KeyK,16,32,17,859
false,KeyK,16,32,17,967
true,ShiftLeft,16,32,18,111
true,Digit9,16,32,18,814
false,Digit9,16,32,18,938
false,ShiftLeft,16,32,19,176
