down,keyCode,hours,minutes,seconds,milliseconds
true,ShiftLeft,10,12,32,24
true,KeyI,10,12,32,442
false,KeyI,10,12,32,582
false,ShiftLeft,10,12,32,639
true,KeyN,10,12,32,663
true,Space,10,12,32,784
false,KeyN,10,12,32,817
true,KeyQ,10,12,32,901
false,Space,10,12,32,916
false,KeyQ,10,12,33,70
true,KeyD,10,12,33,110
false,KeyD,10,12,33,217
true,KeyD,10,12,33,275
false,KeyD,10,12,33,439
true,KeyI,10,12,33,447
false,KeyI,10,12,33,624
true,KeyT,10,12,33,647
true,KeyI,10,12,33,782
false,KeyT,10,12,33,788
true,KeyO,10,12,33,898
false,KeyI,10,12,33,992
false,KeyO,10,12,34,53
true,KeyN,10,12,34,115
false,KeyN,10,12,34,227
true,KeyM,10,12,34,299
false,KeyM,10,12,34,411
true,Space,10,12,34,470
false,Space,10,12,34,598
true,ShiftLeft,10,12,34,740
true,KeyI,10,12,34,940
false,ShiftLeft,10,12,35,81
false,KeyI,10,12,35,99
true,Space,10,12,35,123
false,Space,10,12,35,282
true,KeyH,10,12,35,285
true,KeyE,10,12,35,346
false,KeyH,10,12,35,389
false,KeyE,10,12,35,504
true,KeyR,10,12,35,518
true,KeyE,10,12,35,625
false,KeyR,10,12,35,718
true,KeyB,10,12,35,760
false,KeyE,10,12,35,798
false,KeyB,10,12,35,878
true,KeyY,10,12,35,972
true,Space,10,12,36,84
false,KeyY,10,12,36,103
false,Space,10,12,36,229
true,KeyQ,10,12,36,287
false,KeyQ,10,12,36,441
true,KeyC,10,12,37,322
false,KeyC,10,12,37,481
true,KeyK,10,12,37,763
false,KeyK,10,12,37,893
true,KeyN,10,12,37,995
false,KeyN,10,12,38,117
true,KeyO,10,12,38,200
false,KeyO,10,12,38,346
true,KeyL,10,12,38,464
false,KeyL,10,12,38,614
true,Backspace,10,12,39,878
false,Backspace,10,12,40,4
true,KeyZ,10,12,40,66
false,KeyZ,10,12,40,257
true,KeyL,10,12,40,440
false,KeyL,10,12,40,595
true,KeyE,10,12,40,818
false,KeyE,10,12,40,945
true,KeyD,10,12,41,45
false,KeyD,10,12,41,185
true,KeyG,10,12,41,395
false,KeyG,10,12,41,524
true,KeyE,10,12,41,528
false,KeyE,10,12,41,684
true,Space,10,12,41,759
false,Space,10,12,41,930
true,KeyT,10,12,42,46
true,KeyH,10,12,42,171
false,KeyT,10,12,42,204
true,KeyQ,10,12,42,301
false,KeyH,10,12,42,334
true,KeyT,10,12,42,450
false,KeyQ,10,12,42,539
true,Space,10,12,42,599
false,KeyT,10,12,42,604
false,Space,10,12,42,757
true,ShiftLeft,10,12,42,908
true,KeyI,10,12,43,75
false,KeyI,10,12,43,206
false,ShiftLeft,10,12,43,243
true,Space,10,12,43,295
false,Space,10,12,43,434
true,KeyH,10,12,43,527
true,KeyQ,10,12,43,609
false,KeyH,10,12,43,665
false,KeyQ,10,12,43,744
true,KeyV,10,12,43,839
true,KeyE,10,12,43,909
