down,keyCode,hours,minutes,seconds,milliseconds
true,ShiftLeft,14,47,5,674
true,Digit9,14,47,5,789
false,Digit9,14,47,5,871
false,ShiftLeft,14,47,5,898
true,KeyF,14,47,6,2
false,KeyF,14,47,6,88
true,KeyU,14,47,6,135
false,KeyU,14,47,6,198
true,ShiftLeft,14,47,6,280
true,KeyZ,14,47,6,427
false,KeyZ,14,47,6,508
true,KeyZ,14,47,6,564
false,KeyZ,14,47,6,648
false,ShiftLeft,14,47,6,706
true,KeyY,14,47,6,749
false,KeyY,14,47,6,825
true,KeyN,14,47,7,4
false,KeyN,14,47,7,66
true,Digit3,14,47,7,229
false,Digit3,14,47,7,331
true,KeyT,14,47,7,820
false,KeyT,14,47,7,905
true,KeyW,14,47,8,57
false,KeyW,14,47,8,184
true,Digit0,14,47,8,315
false,Digit0,14,47,8,379
true,KeyR,14,47,8,505
false,KeyR,14,47,8,588
true,KeyK,14,47,8,710
false,KeyK,14,47,8,780
true,ShiftLeft,14,47,8,877
true,Digit0,14,47,9,20
false,Digit0,14,47,9,80
false,ShiftLeft,14,47,9,121
