,down,keyCode,time
1,True,KeyI,209
2,False,ShiftLeft,3
3,False,KeyI,81
4,True,KeyN,145
5,False,KeyN,71
6,True,Space,50
7,False,Space,103
8,True,KeyQ,4
9,False,KeyQ,93
10,True,KeyD,95
11,False,KeyD,103
12,True,KeyD,49
13,True,KeyI,110
14,False,KeyD,2
15,False,KeyI,110
16,True,KeyT,40
17,True,KeyI,69
18,False,KeyT,38
19,False,KeyI,66
20,True,KeyO,16
21,False,KeyO,89
22,True,KeyN,90
23,False,KeyN,83
24,True,KeyM,73
25,False,KeyM,85
26,True,Space,51
27,False,Space,102
28,True,ShiftLeft,458
29,True,KeyI,88
30,False,KeyI,90
31,False,ShiftLeft,9
32,True,Space,63
33,False,Space,88
34,True,KeyH,61
35,True,KeyE,33
36,False,KeyH,61
37,False,KeyE,56
38,True,KeyR,54
39,True,KeyE,55
40,False,KeyR,113
41,True,KeyB,59
42,False,KeyE,6
43,False,KeyB,102
44,True,KeyY,54
45,False,KeyY,112
46,True,Space,144
47,False,Space,117
48,True,KeyQ,311
49,False,KeyQ,118
50,True,KeyC,99
51,False,KeyC,146
52,True,KeyK,4
53,False,KeyK,98
54,True,KeyN,186
55,False,KeyN,81
56,True,KeyO,149
57,False,KeyO,89
58,True,KeyZ,41
59,True,KeyL,88
60,False,KeyZ,57
61,False,KeyL,41
62,True,KeyE,64
63,False,KeyE,112
64,True,KeyD,63
65,True,KeyG,121
66,False,KeyD,10
67,False,KeyG,93
68,True,KeyE,13
69,False,KeyE,121
70,True,Space,64
71,False,Space,124
72,True,KeyT,455
73,False,KeyT,88
74,True,KeyH,60
75,False,KeyH,118
76,True,KeyQ,33
77,True,KeyT,88
78,False,KeyQ,39
79,False,KeyT,59
80,True,Space,128
81,False,Space,107
82,True,ShiftLeft,423
83,True,KeyI,115
84,False,ShiftLeft,80
85,False,KeyI,9
86,True,Space,79
87,False,Space,79
88,True,KeyH,83
89,True,KeyQ,56
90,False,KeyH,42
91,False,KeyQ,88
92,True,KeyV,16
93,True,KeyE,93
94,False,KeyV,2
95,True,Space,77
96,False,KeyE,41
97,False,Space,48
98,True,KeyR,35
99,False,KeyR,127
100,True,KeyE,59
101,False,KeyE,126
102,True,KeyQ,82
103,False,KeyQ,126
104,True,KeyD,77
105,False,KeyD,141
106,True,Space,16
107,False,Space,115
108,True,KeyQ,8
109,True,KeyN,127
110,False,KeyQ,20
111,False,KeyN,93
112,True,KeyD,8
113,True,Space,75
114,False,KeyD,59
115,False,Space,33
116,True,KeyU,101
117,False,KeyU,100
118,True,KeyN,60
119,False,KeyN,113
120,True,KeyD,60
121,False,KeyD,125
122,True,KeyE,71
123,False,KeyE,108
124,True,KeyR,44
125,False,KeyR,75
126,True,KeyS,81
127,True,KeyT,81
128,False,KeyS,64
129,False,KeyT,14
130,True,KeyO,200
131,False,KeyO,81
132,True,KeyO,30
133,True,KeyD,78
134,False,KeyO,5
135,True,Space,121
136,False,KeyD,14
137,False,Space,88
138,True,KeyQ,47
139,True,KeyN,122
140,False,KeyQ,23
141,False,KeyN,70
142,True,KeyD,36
143,True,Space,60
144,False,KeyD,73
145,False,Space,19
146,True,KeyQ,83
147,True,KeyG,84
148,False,KeyQ,47
149,False,KeyG,43
150,True,KeyR,58
151,True,KeyE,48
152,False,KeyR,41
153,False,KeyE,69
154,True,KeyE,61
155,False,KeyE,104
156,True,Space,935
157,False,Space,122
158,True,KeyT,147
159,True,KeyO,87
160,False,KeyT,10
161,False,KeyO,74
162,True,Space,81
163,False,Space,83
164,True,KeyB,76
165,True,KeyE,51
166,False,KeyB,43
167,True,Space,64
168,False,KeyE,5
169,False,Space,111
170,True,KeyB,777
171,False,KeyB,93
172,True,KeyO,151
173,False,KeyO,90
174,True,KeyU,93
175,False,KeyU,93
176,True,KeyN,73
177,False,KeyN,83
178,True,KeyD,45
179,True,Space,80
180,False,KeyD,46
181,False,Space,38
182,True,KeyB,323
183,False,KeyB,76
184,True,KeyY,90
185,False,KeyY,89
186,True,Space,78
187,False,Space,93
188,True,KeyT,30
189,True,KeyH,88
190,False,KeyT,29
191,False,KeyH,75
192,True,KeyE,36
193,True,Space,88
194,False,KeyE,61
195,False,Space,26
196,True,KeyT,159
197,True,KeyE,78
198,False,KeyT,6
199,False,KeyE,101
200,True,KeyR,59
201,False,KeyR,98
202,True,Semicolon,24
203,False,Semicolon,93
204,True,KeyS,74
205,False,KeyS,141
206,True,Space,619
207,False,Space,109
208,True,KeyQ,14
209,True,KeyN,122
210,False,KeyQ,5
211,True,KeyD,92
212,False,KeyN,19
213,True,Space,65
214,False,KeyD,55
215,False,Space,56
216,True,KeyC,100
217,True,KeyO,115
218,False,KeyC,25
219,False,KeyO,69
220,True,KeyN,116
221,False,KeyN,71
222,True,KeyI,120
223,False,KeyI,89
224,True,Backspace,616
225,False,Backspace,112
226,True,KeyD,639
227,False,KeyD,134
228,True,KeyI,53
229,False,KeyI,115
230,True,KeyT,48
231,True,KeyI,83
232,False,KeyT,33
233,False,KeyI,64
234,True,KeyO,32
235,False,KeyO,97
