down,keyCode,hours,minutes,seconds,milliseconds
true,Shift,9,50,20,641
true,(,9,50,20,915
false,(,9,50,20,998
false,Shift,9,50,21,24
true,f,9,50,21,219
false,f,9,50,21,300
true,u,9,50,21,354
false,u,9,50,21,431
true,Shift,9,50,21,472
true,Z,9,50,21,689
false,Z,9,50,21,763
true,Z,9,50,21,838
false,Z,9,50,21,912
false,Shift,9,50,21,976
true,y,9,50,22,94
false,y,9,50,22,163
true,n,9,50,22,387
false,n,9,50,22,468
true,3,9,50,22,623
false,3,9,50,22,697
true,t,9,50,22,851
false,t,9,50,22,933
true,w,9,50,23,148
false,w,9,50,23,218
true,0,9,50,23,433
false,0,9,50,23,513
true,r,9,50,23,682
false,r,9,50,23,754
true,k,9,50,23,888
false,k,9,50,23,954
true,Shift,9,50,24,79
true,),9,50,24,184
false,),9,50,24,252
false,Shift,9,50,24,338
