down,keyCode,hours,minutes,seconds,milliseconds
true,(,9,23,6,202
false,(,9,23,6,315
true,f,9,23,6,469
false,f,9,23,6,593
true,u,9,23,6,721
false,u,9,23,6,833
true,Shift,9,23,6,922
true,Z,9,23,7,134
false,Z,9,23,7,284
true,Z,9,23,7,370
false,Z,9,23,7,497
false,Shift,9,23,7,734
true,y,9,23,7,815
false,y,9,23,7,929
true,n,9,23,8,200
false,n,9,23,8,328
true,Shift,9,23,8,386
true,3,9,23,8,658
false,3,9,23,8,845
false,Shift,9,23,8,849
true,t,9,23,9,8
false,t,9,23,9,123
true,w,9,23,9,409
false,w,9,23,9,549
true,Shift,9,23,9,728
true,0,9,23,9,932
false,0,9,23,10,73
false,Shift,9,23,10,87
true,r,9,23,10,225
false,r,9,23,10,352
true,k,9,23,10,385
false,k,9,23,10,482
true,),9,23,10,865
false,),9,23,10,982
