down,keyCode,hours,minutes,seconds,milliseconds
true,ShiftRight,15,46,34,383
true,ShiftRight,15,46,34,875
true,ShiftRight,15,46,34,905
true,ShiftRight,15,46,34,936
true,ShiftRight,15,46,34,983
true,ShiftRight,15,46,35,14
true,ShiftRight,15,46,35,46
true,ShiftRight,15,46,35,77
true,ShiftRight,15,46,35,112
true,ShiftRight,15,46,35,139
true,ShiftRight,15,46,35,171
true,KeyI,15,46,35,186
false,KeyI,15,46,35,246
false,ShiftRight,15,46,35,319
true,KeyN,15,46,35,537
false,KeyN,15,46,35,604
true,Space,15,46,35,729
false,Space,15,46,35,788
true,KeyA,15,46,36,56
false,KeyA,15,46,36,122
true,KeyD,15,46,36,222
false,KeyD,15,46,36,278
true,KeyD,15,46,36,351
false,KeyD,15,46,36,432
true,KeyI,15,46,36,466
false,KeyI,15,46,36,532
true,KeyT,15,46,36,615
false,KeyT,15,46,36,680
true,KeyI,15,46,36,728
false,KeyI,15,46,36,794
true,KeyO,15,46,36,895
false,KeyO,15,46,36,957
true,KeyN,15,46,37,93
false,KeyN,15,46,37,166
true,Comma,15,46,38,356
false,Comma,15,46,38,407
true,Space,15,46,38,503
false,Space,15,46,38,568
true,ShiftRight,15,46,38,726
true,KeyI,15,46,39,44
false,KeyI,15,46,39,143
false,ShiftRight,15,46,39,189
true,Space,15,46,39,323
false,Space,15,46,39,402
true,KeyH,15,46,39,561
false,KeyH,15,46,39,634
true,KeyE,15,46,39,699
false,KeyE,15,46,39,769
true,KeyR,15,46,39,864
false,KeyR,15,46,39,918
true,KeyE,15,46,40,8
false,KeyE,15,46,40,83
true,KeyB,15,46,40,112
false,KeyB,15,46,40,178
true,KeyY,15,46,40,314
false,KeyY,15,46,40,382
true,Space,15,46,41,23
false,Space,15,46,41,94
true,KeyA,15,46,41,358
false,KeyA,15,46,41,456
true,KeyC,15,46,41,685
false,KeyC,15,46,41,763
true,KeyK,15,46,42,52
false,KeyK,15,46,42,119
true,KeyN,15,46,42,304
false,KeyN,15,46,42,365
true,KeyO,15,46,42,557
false,KeyO,15,46,42,614
true,KeyW,15,46,43,39
false,KeyW,15,46,43,111
true,KeyL,15,46,43,307
false,KeyL,15,46,43,376
true,KeyE,15,46,43,674
false,KeyE,15,46,43,742
true,KeyD,15,46,43,961
false,KeyD,15,46,44,48
true,KeyG,15,46,44,195
false,KeyG,15,46,44,256
true,KeyE,15,46,44,344
false,KeyE,15,46,44,398
true,Space,15,46,45,638
false,Space,15,46,45,706
true,KeyT,15,46,45,902
false,KeyT,15,46,45,977
true,KeyH,15,46,46,45
false,KeyH,15,46,46,106
true,KeyA,15,46,46,118
false,KeyA,15,46,46,213
true,KeyT,15,46,46,351
false,KeyT,15,46,46,413
true,Space,15,46,46,543
false,Space,15,46,46,610
true,ShiftRight,15,46,47,565
true,KeyI,15,46,47,920
false,KeyI,15,46,48,15
false,ShiftRight,15,46,48,81
true,Space,15,46,48,325
false,Space,15,46,48,385
true,KeyH,15,46,49,385
false,KeyH,15,46,49,457
