,down,keyCode,time
0,True,ShiftLeft,133
1,True,KeyI,64
2,False,KeyI,42
3,False,ShiftLeft,134
4,True,KeyN,48
5,False,KeyN,98
6,True,Space,78
7,False,Space,59
8,True,KeyQ,72
9,False,KeyQ,138
10,True,KeyD,60
11,False,KeyD,72
12,True,KeyD,69
13,False,KeyD,58
14,True,KeyI,50
15,False,KeyI,49
16,True,KeyT,60
17,False,KeyT,44
18,True,KeyI,60
19,False,KeyI,98
20,True,KeyO,78
21,False,KeyO,140
22,True,KeyN,58
23,False,KeyN,299
24,True,KeyM,60
25,False,KeyM,99
26,True,Space,76
27,False,Space,858
28,True,ShiftLeft,129
29,True,KeyI,51
30,False,KeyI,51
31,False,ShiftLeft,134
32,True,Space,58
33,False,Space,130
34,True,KeyH,45
35,False,KeyH,16
36,True,KeyE,68
37,False,KeyE,83
38,True,KeyR,73
39,False,KeyR,95
40,True,KeyE,86
41,False,KeyE,28
42,True,KeyB,71
43,False,KeyB,59
44,True,KeyY,70
45,False,KeyY,139
46,True,Space,67
47,False,Space,725
48,True,KeyQ,77
49,False,KeyQ,294
50,True,KeyC,67
51,False,KeyC,129
52,True,KeyK,68
53,False,KeyK,179
54,True,KeyN,75
55,False,KeyN,133
56,True,KeyO,64
57,False,KeyO,305
58,True,KeyX,12
59,False,KeyX,593
60,True,Backspace,82
61,False,Backspace,84
62,True,KeyZ,70
63,False,KeyZ,114
64,True,KeyL,66
65,False,KeyL,94
66,True,KeyE,69
67,False,KeyE,113
68,True,KeyD,72
69,False,KeyD,23
70,True,KeyG,50
71,False,KeyG,49
72,True,KeyE,75
73,False,KeyE,352
74,True,Space,85
75,False,Space,658
76,True,KeyT,61
77,False,KeyT,99
78,True,KeyH,83
79,False,KeyH,45
80,True,KeyQ,83
81,False,KeyQ,13
82,True,KeyT,58
83,False,KeyT,134
84,True,Space,75
85,False,Space,78
86,True,ShiftLeft,72
87,True,KeyI,54
88,False,KeyI,54
89,False,ShiftLeft,50
90,True,Space,63
91,False,Space,95
92,True,KeyH,63
93,False,KeyH,39
94,True,KeyQ,70
95,False,KeyQ,3
96,True,KeyV,61
97,False,KeyV,49
98,True,KeyE,74
99,False,KeyE,14
100,True,Space,89
101,False,Space,366
102,True,KeyR,76
103,False,KeyR,105
104,True,KeyE,75
105,False,KeyE,123
106,True,KeyQ,69
107,False,KeyQ,124
108,True,KeyD,70
109,False,KeyD,29
110,True,Space,79
111,False,Space,37
112,True,KeyQ,77
113,False,KeyQ,19
114,True,KeyN,59
115,False,KeyN,53
116,True,KeyD,72
117,False,KeyD,3
118,True,Space,87
119,False,Space,281
120,True,KeyU,74
121,False,KeyU,65
122,True,KeyN,62
123,False,KeyN,43
124,True,KeyD,59
125,False,KeyD,104
126,True,KeyE,48
127,False,KeyE,65
128,True,KeyR,63
129,False,KeyR,137
130,True,KeyS,69
131,False,KeyS,33
132,True,KeyT,62
133,False,KeyT,209
134,True,KeyO,57
135,False,KeyO,69
136,True,KeyO,73
137,False,KeyO,53
138,True,KeyD,84
139,False,KeyD,726
140,True,Space,79
141,False,Space,124
142,True,KeyQ,73
143,False,KeyQ,44
144,True,KeyN,57
145,False,KeyN,44
146,True,KeyD,73
147,False,KeyD,23
148,True,Space,70
149,False,Space,80
150,True,KeyQ,76
151,False,KeyQ,69
152,True,KeyG,66
153,False,KeyG,73
154,True,KeyR,74
155,False,KeyR,134
156,True,KeyE,62
157,False,KeyE,73
158,True,KeyE,74
159,False,KeyE,57
160,True,Space,75
161,False,Space,460
162,True,KeyT,70
163,False,KeyT,45
164,True,KeyO,67
165,False,KeyO,104
166,True,Space,55
167,False,Space,130
168,True,KeyB,56
169,False,KeyB,60
170,True,KeyE,64
171,False,KeyE,19
172,True,Space,77
173,False,Space,107
174,True,KeyB,70
175,False,KeyB,146
176,True,KeyO,77
177,False,KeyO,154
178,True,KeyU,42
179,False,KeyU,135
180,True,KeyN,69
181,False,KeyN,124
182,True,KeyD,69
183,False,KeyD,405
184,True,Space,67
185,False,Space,310
186,True,KeyB,71
187,False,KeyB,80
188,True,KeyY,66
189,False,KeyY,101
190,True,Space,83
191,False,Space,82
192,True,KeyT,66
193,False,KeyT,32
194,True,KeyH,64
195,False,KeyH,75
196,True,KeyE,62
197,False,KeyE,2
198,True,Space,80
199,False,Space,129
200,True,KeyT,68
201,False,KeyT,133
202,True,KeyE,69
203,False,KeyE,90
204,True,KeyR,70
205,False,KeyR,39
206,True,Semicolon,71
207,False,Semicolon,68
208,True,KeyS,84
209,False,KeyS,260
210,True,Space,59
211,False,Space,524
212,True,KeyQ,81
213,False,KeyQ,14
214,True,KeyN,62
215,False,KeyN,73
216,True,KeyD,60
217,False,KeyD,25
218,True,Space,66
219,False,Space,89
220,True,KeyC,49
221,False,KeyC,24
222,True,KeyO,69
223,False,KeyO,95
224,True,KeyN,73
225,False,KeyN,501
226,True,KeyD,69
227,False,KeyD,63
228,True,KeyI,61
229,False,KeyI,268
230,True,KeyT,62
231,False,KeyT,94
232,True,KeyI,69
233,False,KeyI,119
234,True,KeyO,71
235,False,KeyO,120
236,True,KeyN,65
237,False,KeyN,84
238,True,KeyS,80
239,False,KeyS,521
240,True,Space,85
241,False,Space,176
242,True,KeyO,51
243,False,KeyO,43
244,True,KeyF,62
245,False,KeyF,43
246,True,Space,65
247,False,Space,68
248,True,KeyT,55
249,False,KeyT,48
250,True,KeyH,21
251,False,KeyH,113
252,True,KeyE,72
253,False,KeyE,41
254,True,Space,81
255,False,Space,441
256,True,KeyF,70
257,False,KeyF,57
258,True,KeyO,62
259,False,KeyO,117
260,True,KeyL,72
261,False,KeyL,80
262,True,KeyL,77
263,False,KeyL,67
264,True,KeyO,72
265,False,KeyO,39
266,True,KeyZ,78
267,False,KeyZ,84
268,True,KeyI,72
269,False,KeyI,79
270,True,KeyN,69
271,False,KeyN,104
272,True,KeyG,62
273,False,KeyG,34
274,True,Space,78
275,False,Space,364
276,True,KeyD,65
277,False,KeyD,13
278,True,KeyO,61
279,False,KeyO,65
280,True,KeyC,73
281,False,KeyC,14
282,True,KeyU,53
283,False,KeyU,210
284,True,Semicolon,73
285,False,Semicolon,18
286,True,KeyE,75
287,False,KeyE,58
288,True,KeyN,69
289,False,KeyN,45
290,True,KeyT,70
291,False,KeyT,336
292,True,KeyS,80
293,False,KeyS,523
294,True,KeyM,62
295,False,KeyM,122
296,True,Space,76
297,False,Space,316
298,True,KeyQ,66
299,False,KeyQ,110
300,True,KeyS,66
301,False,KeyS,64
302,True,Space,61
303,False,Space,284
304,True,KeyT,54
305,False,KeyT,35
306,True,KeyH,58
307,False,KeyH,53
308,True,KeyE,55
309,False,KeyE,35
310,True,KeyY,53
311,False,KeyY,145
312,True,Space,78
313,False,Space,203
314,True,Semicolon,72
315,False,Semicolon,56
316,True,KeyQ,71
317,False,KeyQ,85
318,True,KeyY,59
319,False,KeyY,135
320,True,Space,76
321,False,Space,89
322,True,KeyB,74
323,False,KeyB,39
324,True,KeyE,68
325,False,KeyE,18
326,True,Space,86
327,False,Space,100
328,True,KeyQ,82
329,False,KeyQ,74
330,True,Semicolon,73
331,False,Semicolon,161
332,True,KeyE,70
333,False,KeyE,110
334,True,KeyN,60
335,False,KeyN,34
336,True,KeyD,80
337,False,KeyD,54
338,True,KeyE,76
339,False,KeyE,84
340,True,KeyD,68
341,False,KeyD,54
342,True,Space,86
343,False,Space,814
344,True,KeyF,60
345,False,KeyF,98
346,True,KeyR,70
347,False,KeyR,13
348,True,KeyO,57
349,False,KeyO,130
350,True,Semicolon,67
351,False,Semicolon,135
352,True,Space,64
353,False,Space,94
354,True,KeyT,70
355,False,KeyT,18
356,True,KeyI,50
357,False,KeyI,179
358,True,Semicolon,69
359,False,Semicolon,59
360,True,KeyE,67
361,False,KeyE,68
362,True,Space,53
363,False,Space,174
364,True,KeyT,73
365,False,KeyT,28
366,True,KeyO,66
367,False,KeyO,124
368,True,Space,67
369,False,Space,144
370,True,KeyT,63
371,False,KeyT,25
372,True,KeyI,53
373,False,KeyI,178
374,True,Semicolon,80
375,False,Semicolon,54
376,True,KeyE,71
377,False,KeyE,1247
378,True,KeyM,60
379,False,KeyM,99
380,True,Space,73
381,False,Space,224
382,True,KeyZ,72
383,False,KeyZ,24
384,True,KeyH,65
385,False,KeyH,74
386,True,KeyI,69
387,False,KeyI,64
388,True,KeyC,55
389,False,KeyC,33
390,True,KeyH,48
391,False,KeyH,128
392,True,Space,65
393,False,Space,1081
394,True,KeyQ,72
395,False,KeyQ,180
396,True,KeyR,57
397,False,KeyR,123
398,True,KeyE,63
399,False,KeyE,63
400,True,Space,69
401,False,Space,1074
402,True,KeyH,59
403,False,KeyH,30
404,True,KeyE,75
405,False,KeyE,75
406,True,KeyR,67
407,False,KeyR,113
408,True,KeyE,64
409,False,KeyE,43
410,True,KeyB,69
411,False,KeyB,81
412,True,KeyY,63
413,False,KeyY,90
414,True,Space,88
415,False,Space,325
416,True,KeyI,74
417,False,KeyI,111
418,True,KeyN,69
419,False,KeyN,64
420,True,KeyC,67
421,False,KeyC,29
422,True,KeyO,60
423,False,KeyO,86
424,True,KeyR,65
425,False,KeyR,84
426,True,KeyP,53
427,False,KeyP,104
428,True,KeyO,66
429,False,KeyO,33
430,True,KeyR,58
431,False,KeyR,294
432,True,KeyQ,80
433,False,KeyQ,54
434,True,KeyT,64
435,False,KeyT,37
436,True,KeyE,59
437,False,KeyE,110
438,True,KeyD,68
439,False,KeyD,306
440,True,Space,66
441,False,Space,184
442,True,KeyQ,73
443,False,KeyQ,31
444,True,KeyN,69
445,False,KeyN,20
446,True,KeyD,80
447,False,KeyD,29
448,True,Space,65
449,False,Space,204
450,True,Semicolon,80
451,False,Semicolon,25
452,True,KeyQ,67
453,False,KeyQ,108
454,True,KeyD,61
455,False,KeyD,101
456,True,KeyE,68
457,False,KeyE,22
458,True,Space,70
459,False,Space,117
460,True,KeyQ,55
461,False,KeyQ,18
462,True,KeyN,60
463,False,KeyN,95
464,True,Space,84
465,False,Space,84
466,True,KeyI,73
467,False,KeyI,44
468,True,KeyN,69
469,False,KeyN,34
470,True,KeyT,62
471,False,KeyT,138
472,True,KeyE,70
473,False,KeyE,44
474,True,KeyG,54
475,False,KeyG,39
476,True,KeyR,62
477,False,KeyR,472
478,True,KeyQ,71
479,False,KeyQ,49
480,True,KeyL,66
481,False,KeyL,205
482,True,Space,67
483,False,Space,841
484,True,KeyP,73
485,False,KeyP,38
486,True,KeyQ,67
487,False,KeyQ,156
488,True,KeyR,59
489,False,KeyR,114
490,True,KeyT,45
491,False,KeyT,44
492,True,Space,66
493,False,Space,777
494,True,KeyO,65
495,False,KeyO,95
496,True,KeyF,67
497,False,KeyF,18
498,True,Space,69
499,False,Space,179
500,True,KeyT,51
501,False,KeyT,3
502,True,KeyH,78
503,False,KeyH,75
504,True,KeyI,68
505,False,KeyI,63
506,True,KeyS,71
507,False,KeyS,39
508,True,Space,76
509,False,Space,168
510,True,ShiftLeft,155
511,True,KeyQ,51
512,False,ShiftLeft,21
513,False,KeyQ,134
514,True,KeyG,60
515,False,KeyG,69
516,True,KeyR,66
517,False,KeyR,145
518,True,KeyE,59
519,False,KeyE,64
520,True,KeyE,85
521,False,KeyE,58
522,True,Semicolon,71
523,False,Semicolon,28
524,True,KeyE,71
525,False,KeyE,75
526,True,KeyN,57
527,False,KeyN,68
528,True,KeyT,72
529,False,KeyT,505
530,True,ShiftLeft,127
531,True,Comma,66
532,False,Comma,71
