down,keyCode,hours,minutes,seconds,milliseconds
true,ShiftLeft,10,31,5,506
true,KeyI,10,31,5,817
false,KeyI,10,31,5,900
false,ShiftLeft,10,31,5,942
true,KeyN,10,31,6,70
false,KeyN,10,31,6,135
true,Space,10,31,6,501
false,Space,10,31,6,571
true,KeyQ,10,31,6,839
false,KeyQ,10,31,6,913
true,KeyD,10,31,7,132
false,KeyD,10,31,7,185
true,KeyD,10,31,7,273
false,KeyD,10,31,7,346
true,KeyI,10,31,7,409
false,KeyI,10,31,7,460
true,KeyT,10,31,7,523
false,KeyT,10,31,7,577
true,KeyI,10,31,7,617
false,KeyI,10,31,7,675
true,KeyO,10,31,7,777
false,KeyO,10,31,7,856
true,KeyN,10,31,7,991
false,KeyN,10,31,8,54
true,KeyM,10,31,8,339
false,KeyM,10,31,8,410
true,Space,10,31,8,504
false,Space,10,31,8,596
true,ShiftLeft,10,31,8,701
true,KeyI,10,31,8,783
false,KeyI,10,31,8,851
false,ShiftLeft,10,31,8,910
true,Space,10,31,8,965
false,Space,10,31,9,40
true,KeyH,10,31,9,154
false,KeyH,10,31,9,209
true,KeyE,10,31,9,222
false,KeyE,10,31,9,290
true,KeyR,10,31,9,359
false,KeyR,10,31,9,434
true,KeyE,10,31,9,527
false,KeyE,10,31,9,599
true,KeyB,10,31,9,608
false,KeyB,10,31,9,673
true,KeyY,10,31,9,751
false,KeyY,10,31,9,818
true,Space,10,31,9,926
false,Space,10,31,9,994
true,KeyQ,10,31,10,159
false,KeyQ,10,31,10,238
true,KeyC,10,31,10,424
false,KeyC,10,31,10,496
true,KeyK,10,31,10,585
false,KeyK,10,31,10,640
true,KeyN,10,31,10,756
false,KeyN,10,31,10,818
true,KeyO,10,31,10,916
false,KeyO,10,31,10,964
true,KeyZ,10,31,11,53
false,KeyZ,10,31,11,135
true,KeyL,10,31,11,202
false,KeyL,10,31,11,263
true,KeyE,10,31,11,358
false,KeyE,10,31,11,419
true,KeyD,10,31,11,554
false,KeyD,10,31,11,623
true,KeyG,10,31,11,683
false,KeyG,10,31,11,731
true,KeyE,10,31,11,816
false,KeyE,10,31,11,869
true,Space,10,31,12,301
false,Space,10,31,12,374
true,KeyT,10,31,13,622
false,KeyT,10,31,13,681
true,KeyH,10,31,13,771
false,KeyH,10,31,13,834
true,KeyQ,10,31,14,1
false,KeyQ,10,31,14,78
true,KeyT,10,31,14,161
false,KeyT,10,31,14,200
true,Space,10,31,14,358
false,Space,10,31,14,424
true,ShiftLeft,10,31,14,532
true,KeyI,10,31,14,660
false,KeyI,10,31,14,718
false,ShiftLeft,10,31,14,789
true,Space,10,31,14,893
false,Space,10,31,14,952
true,KeyH,10,31,15,165
false,KeyH,10,31,15,235
true,KeyQ,10,31,15,317
false,KeyQ,10,31,15,390
true,KeyV,10,31,15,429
false,KeyV,10,31,15,487
true,Space,10,31,15,636
false,Space,10,31,15,716
true,Backspace,10,31,16,101
false,Backspace,10,31,16,169
true,KeyE,10,31,16,189
false,KeyE,10,31,16,250
true,Space,10,31,16,370
false,Space,10,31,16,432
true,KeyR,10,31,16,703
false,KeyR,10,31,16,766
true,KeyE,10,31,16,931
false,KeyE,10,31,17,7
true,KeyQ,10,31,17,128
false,KeyQ,10,31,17,198
true,KeyD,10,31,17,333
false,KeyD,10,31,17,399
true,Space,10,31,17,454
false,Space,10,31,17,526
true,KeyQ,10,31,17,750
false,KeyQ,10,31,17,827
true,KeyN,10,31,17,896
false,KeyN,10,31,17,948
true,Space,10,31,18,128
false,Space,10,31,18,211
true,Backspace,10,31,19,38
false,Backspace,10,31,19,118
true,KeyD,10,31,19,177
false,KeyD,10,31,19,249
true,Space,10,31,19,354
false,Space,10,31,19,415
true,KeyU,10,31,19,767
false,KeyU,10,31,19,837
true,KeyN,10,31,19,885
false,KeyN,10,31,19,953
true,KeyD,10,31,19,997
false,KeyD,10,31,20,68
true,KeyE,10,31,20,177
false,KeyE,10,31,20,224
true,KeyR,10,31,20,306
false,KeyR,10,31,20,368
true,KeyS,10,31,20,511
false,KeyS,10,31,20,568
true,KeyT,10,31,20,699
false,KeyT,10,31,20,760
true,KeyO,10,31,20,798
false,KeyO,10,31,20,869
true,KeyO,10,31,20,938
false,KeyO,10,31,21,21
true,KeyD,10,31,21,49
false,KeyD,10,31,21,139
true,Space,10,31,21,228
false,Space,10,31,21,296
true,KeyQ,10,31,21,724
false,KeyQ,10,31,21,810
true,KeyN,10,31,21,883
false,KeyN,10,31,21,939
true,KeyD,10,31,21,982
false,KeyD,10,31,22,52
true,Space,10,31,22,71
false,Space,10,31,22,143
true,KeyQ,10,31,22,300
false,KeyQ,10,31,22,360
true,KeyG,10,31,22,394
false,KeyG,10,31,22,452
true,KeyR,10,31,22,534
false,KeyR,10,31,22,615
true,KeyE,10,31,22,754
false,KeyE,10,31,22,817
true,KeyE,10,31,22,891
false,KeyE,10,31,22,968
true,Space,10,31,23,21
false,Space,10,31,23,91
true,KeyT,10,31,23,420
false,KeyT,10,31,23,471
true,KeyO,10,31,23,521
false,KeyO,10,31,23,583
true,Space,10,31,23,703
false,Space,10,31,23,769
true,KeyB,10,31,23,872
false,KeyB,10,31,23,932
true,KeyE,10,31,23,981
false,KeyE,10,31,24,52
true,Space,10,31,24,70
false,Space,10,31,24,151
true,KeyB,10,31,24,234
false,KeyB,10,31,24,303
true,KeyO,10,31,24,431
false,KeyO,10,31,24,515
true,KeyU,10,31,24,656
false,KeyU,10,31,24,714
true,KeyN,10,31,24,792
false,KeyN,10,31,24,856
true,KeyD,10,31,24,931
false,KeyD,10,31,24,994
true,Space,10,31,25,22
false,Space,10,31,25,88
true,KeyB,10,31,25,543
false,KeyB,10,31,25,607
true,KeyY,10,31,25,683
false,KeyY,10,31,25,747
true,Space,10,31,25,827
false,Space,10,31,25,914
true,KeyT,10,31,26,13
false,KeyT,10,31,26,76
true,KeyH,10,31,26,105
false,KeyH,10,31,26,164
true,KeyE,10,31,26,234
false,KeyE,10,31,26,301
true,Space,10,31,26,326
false,Space,10,31,26,388
true,KeyT,10,31,26,500
false,KeyT,10,31,26,562
true,KeyE,10,31,26,718
false,KeyE,10,31,26,803
true,KeyR,10,31,26,857
true,Semicolon,10,31,26,909
false,KeyR,10,31,26,943
false,Semicolon,10,31,26,970
true,KeyS,10,31,27,88
false,KeyS,10,31,27,173
true,Space,10,31,27,201
false,Space,10,31,27,267
true,KeyQ,10,31,27,281
false,KeyQ,10,31,27,355
true,KeyN,10,31,27,394
false,KeyN,10,31,27,456
true,KeyD,10,31,27,474
false,KeyD,10,31,27,551
true,Space,10,31,27,591
false,Space,10,31,27,666
true,KeyC,10,31,27,823
false,KeyC,10,31,27,888
true,KeyO,10,31,27,906
false,KeyO,10,31,27,987
true,KeyN,10,31,28,121
false,KeyN,10,31,28,185
true,KeyD,10,31,28,339
false,KeyD,10,31,28,404
true,KeyI,10,31,28,433
false,KeyI,10,31,28,485
true,KeyT,10,31,28,572
false,KeyT,10,31,28,628
true,KeyI,10,31,28,630
false,KeyI,10,31,28,700
true,KeyO,10,31,28,805
false,KeyO,10,31,28,865
true,KeyN,10,31,28,976
false,KeyN,10,31,29,29
true,KeyS,10,31,29,73
false,KeyS,10,31,29,142
true,Space,10,31,29,181
false,Space,10,31,29,258
true,KeyO,10,31,29,436
false,KeyO,10,31,29,508
true,KeyF,10,31,29,736
false,KeyF,10,31,29,791
true,Space,10,31,29,828
false,Space,10,31,29,902
true,KeyT,10,31,29,940
false,KeyT,10,31,29,997
true,KeyH,10,31,30,51
false,KeyH,10,31,30,101
true,KeyE,10,31,30,161
false,KeyE,10,31,30,229
true,Space,10,31,30,268
false,Space,10,31,30,350
true,KeyF,10,31,30,757
false,KeyF,10,31,30,811
true,KeyO,10,31,30,869
false,KeyO,10,31,30,920
true,KeyL,10,31,31,14
false,KeyL,10,31,31,91
true,KeyL,10,31,31,166
false,KeyL,10,31,31,233
true,KeyO,10,31,31,318
false,KeyO,10,31,31,384
true,KeyZ,10,31,31,438
false,KeyZ,10,31,31,518
true,KeyI,10,31,31,573
false,KeyI,10,31,31,641
true,KeyN,10,31,31,687
false,KeyN,10,31,31,746
true,KeyG,10,31,31,800
false,KeyG,10,31,31,861
true,Space,10,31,31,924
false,Space,10,31,31,991
true,KeyD,10,31,32,353
false,KeyD,10,31,32,411
true,KeyO,10,31,32,450
false,KeyO,10,31,32,511
true,KeyC,10,31,32,584
false,KeyC,10,31,32,642
true,KeyU,10,31,32,691
false,KeyU,10,31,32,711
true,Semicolon,10,31,32,967
false,Semicolon,10,31,33,34
true,KeyE,10,31,33,67
false,KeyE,10,31,33,121
true,KeyN,10,31,33,196
false,KeyN,10,31,33,254
true,KeyT,10,31,33,318
false,KeyT,10,31,33,379
true,KeyS,10,31,33,548
false,KeyS,10,31,33,626
true,KeyM,10,31,33,637
false,KeyM,10,31,33,690
true,Space,10,31,33,789
false,Space,10,31,33,864
true,KeyQ,10,31,34,936
false,KeyQ,10,31,35,15
true,KeyS,10,31,35,124
false,KeyS,10,31,35,169
true,Space,10,31,35,219
false,Space,10,31,35,269
true,KeyT,10,31,35,439
false,KeyT,10,31,35,498
true,KeyH,10,31,35,638
false,KeyH,10,31,35,707
true,KeyE,10,31,35,766
false,KeyE,10,31,35,835
true,KeyY,10,31,35,857
false,KeyY,10,31,35,912
true,Space,10,31,36,89
false,Space,10,31,36,163
true,Semicolon,10,31,36,936
false,Semicolon,10,31,37,10
true,KeyQ,10,31,37,145
false,KeyQ,10,31,37,225
true,KeyY,10,31,37,284
false,KeyY,10,31,37,333
true,Space,10,31,37,468
false,Space,10,31,37,539
true,KeyB,10,31,37,743
false,KeyB,10,31,37,797
true,KeyE,10,31,37,851
false,KeyE,10,31,37,918
true,Space,10,31,37,921
false,Space,10,31,38,7
true,KeyQ,10,31,38,251
true,Semicolon,10,31,38,310
false,KeyQ,10,31,38,329
false,Semicolon,10,31,38,369
true,KeyE,10,31,38,463
false,KeyE,10,31,38,526
true,KeyN,10,31,38,575
false,KeyN,10,31,38,628
true,KeyD,10,31,38,643
false,KeyD,10,31,38,708
true,KeyE,10,31,38,791
false,KeyE,10,31,38,844
true,KeyD,10,31,38,936
false,KeyD,10,31,38,999
true,Space,10,31,39,38
false,Space,10,31,39,100
true,KeyF,10,31,39,433
false,KeyF,10,31,39,485
true,KeyR,10,31,39,574
false,KeyR,10,31,39,635
true,KeyO,10,31,39,665
false,KeyO,10,31,39,716
true,Semicolon,10,31,39,834
false,Semicolon,10,31,39,902
true,Space,10,31,40,15
false,Space,10,31,40,73
true,KeyT,10,31,40,172
false,KeyT,10,31,40,227
true,KeyI,10,31,40,288
false,KeyI,10,31,40,344
true,Semicolon,10,31,40,475
false,Semicolon,10,31,40,547
true,KeyE,10,31,40,722
false,KeyE,10,31,40,791
true,Space,10,31,40,956
false,Space,10,31,41,22
true,KeyT,10,31,41,116
false,KeyT,10,31,41,166
true,KeyO,10,31,41,204
false,KeyO,10,31,41,266
true,Space,10,31,41,379
false,Space,10,31,41,443
true,KeyT,10,31,41,503
false,KeyT,10,31,41,569
true,KeyI,10,31,41,604
false,KeyI,10,31,41,656
true,Semicolon,10,31,41,791
false,Semicolon,10,31,41,874
true,KeyE,10,31,41,908
false,KeyE,10,31,41,980
true,KeyM,10,31,42,691
false,KeyM,10,31,42,748
true,Space,10,31,42,838
false,Space,10,31,42,922
true,KeyZ,10,31,44,268
false,KeyZ,10,31,44,348
true,KeyH,10,31,44,391
false,KeyH,10,31,44,458
true,KeyI,10,31,44,506
false,KeyI,10,31,44,566
true,KeyC,10,31,44,630
false,KeyC,10,31,44,688
true,KeyH,10,31,44,711
false,KeyH,10,31,44,766
true,Space,10,31,44,890
false,Space,10,31,44,965
true,KeyQ,10,31,45,43
false,KeyQ,10,31,45,110
true,KeyR,10,31,45,268
false,KeyR,10,31,45,282
true,KeyE,10,31,45,429
false,KeyE,10,31,45,499
true,Space,10,31,45,961
false,Space,10,31,46,17
true,KeyH,10,31,46,411
false,KeyH,10,31,46,467
true,KeyE,10,31,46,510
false,KeyE,10,31,46,575
true,KeyR,10,31,46,670
false,KeyR,10,31,46,722
true,KeyE,10,31,46,831
false,KeyE,10,31,46,892
