,down,keyCode,time
1,True,KeyI,261
2,False,KeyI,116
3,False,ShiftLeft,94
4,True,KeyN,45
5,False,KeyN,111
6,True,Space,82
7,False,Space,146
8,True,KeyQ,19
9,False,KeyQ,155
10,True,KeyD,92
11,False,KeyD,104
12,True,KeyD,60
13,False,KeyD,154
14,True,KeyI,43
15,True,KeyT,144
16,False,KeyI,10
17,True,KeyI,125
18,False,KeyT,2
19,True,KeyO,114
20,False,KeyI,94
21,False,KeyO,84
22,True,KeyN,85
23,False,KeyN,149
24,True,KeyM,116
25,True,Space,149
26,False,KeyM,2
27,False,Space,119
28,True,ShiftLeft,267
29,True,KeyI,289
30,False,KeyI,159
31,False,ShiftLeft,24
32,True,Space,121
33,False,Space,149
34,True,KeyH,302
35,True,KeyE,106
36,False,KeyH,30
37,True,KeyR,124
38,False,KeyE,52
39,True,KeyE,102
40,False,KeyR,112
41,False,KeyE,84
42,True,KeyB,514
43,False,KeyB,169
44,True,KeyY,113
45,False,KeyY,140
46,True,Space,13
47,False,Space,175
48,True,KeyQ,28
49,False,KeyQ,188
50,True,KeyC,87
51,False,KeyC,173
52,True,KeyK,138
53,False,KeyK,153
54,True,KeyN,147
55,False,KeyN,131
56,True,KeyO,137
57,False,KeyO,160
58,True,KeyZ,87
59,False,KeyZ,191
60,True,KeyL,164
61,True,KeyE,140
62,False,KeyL,5
63,False,KeyE,182
64,True,KeyD,110
65,False,KeyD,165
66,True,KeyG,32
67,False,KeyG,145
68,True,KeyE,37
69,True,Space,125
70,False,KeyE,29
71,False,Space,106
72,True,KeyT,255
73,True,KeyH,140
74,False,KeyT,4
75,True,KeyQ,112
76,False,KeyH,29
77,True,KeyT,115
78,False,KeyQ,75
79,False,KeyT,57
80,True,Space,19
81,False,Space,126
82,True,ShiftLeft,46
83,True,KeyI,172
84,False,KeyI,145
85,False,ShiftLeft,15
86,True,Space,74
87,False,Space,117
88,True,KeyH,122
89,True,KeyQ,65
90,False,KeyH,70
91,False,KeyQ,88
92,True,KeyV,81
93,True,KeyE,70
94,False,KeyV,90
95,True,Space,50
96,False,KeyE,37
97,False,Space,108
98,True,KeyR,213
99,True,KeyE,126
100,False,KeyR,94
101,False,KeyE,120
102,True,KeyQ,29
103,False,KeyQ,165
104,True,KeyD,83
105,True,Space,144
106,False,KeyD,19
107,False,Space,120
108,True,KeyQ,33
109,True,KeyN,125
110,False,KeyQ,44
111,True,KeyD,106
112,False,KeyN,13
113,True,Space,130
114,False,KeyD,39
115,False,Space,107
116,True,KeyU,84
117,False,KeyU,136
118,True,KeyN,75
119,True,KeyD,94
120,False,KeyN,38
121,True,KeyE,64
122,False,KeyD,57
123,True,KeyR,74
124,False,KeyE,112
125,False,KeyR,55
126,True,KeyS,22
127,True,KeyT,214
128,False,KeyS,43
129,False,KeyT,112
130,True,KeyO,129
131,False,KeyO,117
132,True,KeyO,83
133,False,KeyO,121
134,True,KeyD,66
135,False,KeyD,150
136,True,Space,47
137,False,Space,163
138,True,KeyQ,142
139,True,KeyN,200
140,False,KeyQ,35
141,False,KeyN,135
142,True,KeyD,18
143,False,KeyD,173
144,True,Space,15
145,False,Space,148
146,True,KeyQ,135
147,False,KeyQ,183
148,True,KeyG,62
149,True,KeyR,106
150,False,KeyG,94
151,True,KeyE,4
152,False,KeyR,127
153,False,KeyE,13
154,True,KeyE,97
155,False,KeyE,140
156,True,Space,38
157,False,Space,163
158,True,KeyT,80
159,False,KeyT,130
160,True,KeyO,9
161,False,KeyO,155
162,True,Space,15
163,False,Space,116
164,True,KeyB,184
165,False,KeyB,144
166,True,KeyE,37
167,False,KeyE,141
168,True,Space,43
169,False,Space,148
170,True,KeyB,210
171,False,KeyB,127
172,True,KeyO,127
173,True,KeyU,106
174,False,KeyO,123
175,False,KeyU,47
176,True,KeyN,115
177,False,KeyN,163
178,True,KeyD,39
179,False,KeyD,160
180,True,Space,37
181,False,Space,155
182,True,KeyB,371
183,False,KeyB,149
184,True,KeyY,287
185,False,KeyY,160
186,True,Space,908
187,False,Space,179
188,True,KeyT,165
189,True,KeyH,144
190,False,KeyT,15
191,False,KeyH,136
192,True,KeyE,70
193,False,KeyE,141
194,True,Space,42
195,True,KeyT,158
196,False,Space,1
197,True,KeyE,126
198,False,KeyT,28
199,True,KeyR,105
200,False,KeyE,160
201,True,Semicolon,45
202,False,KeyR,34
203,False,Semicolon,145
204,True,KeyS,42
205,False,KeyS,178
206,True,Space,92
207,False,Space,178
208,True,KeyQ,105
209,True,KeyN,157
210,False,KeyQ,10
211,True,KeyD,130
212,False,KeyN,10
213,False,KeyD,149
214,True,Space,605
215,False,Space,177
216,True,KeyC,380
217,True,KeyO,111
218,False,KeyC,65
219,False,KeyO,52
220,True,KeyN,93
221,False,KeyN,142
222,True,KeyD,24
223,False,KeyD,150
224,True,KeyI,9
225,False,KeyI,205
226,True,KeyT,58
227,False,KeyT,43
228,True,KeyI,233
229,True,KeyO,116
230,False,KeyI,135
231,False,KeyO,65
232,True,KeyN,104
233,False,KeyN,154
234,True,KeyS,76
235,False,KeyS,141
236,True,Space,75
237,False,Space,178
238,True,KeyO,154
239,False,KeyO,146
240,True,Space,641
241,False,Space,116
242,True,Backspace,332
243,True,KeyF,148
244,False,Backspace,11
245,False,KeyF,172
246,True,Space,4
247,False,Space,149
248,True,KeyT,201
249,True,KeyH,89
250,False,KeyT,28
251,True,KeyE,92
252,False,KeyH,20
253,True,Space,111
254,False,KeyE,32
255,False,Space,126
256,True,KeyF,14
257,False,KeyF,136
258,True,KeyO,63
259,False,KeyO,140
260,True,KeyO,82
261,False,KeyO,137
262,True,Backspace,493
263,False,Backspace,136
264,True,KeyL,310
265,False,KeyL,137
266,True,KeyL,51
267,False,KeyL,126
268,True,KeyO,83
269,False,KeyO,160
270,True,KeyZ,45
271,True,KeyI,139
272,False,KeyZ,10
273,False,KeyI,127
274,True,KeyN,76
275,False,KeyN,149
276,True,KeyG,9
277,True,Space,79
278,False,KeyG,69
279,False,Space,113
280,True,KeyD,151
281,True,KeyO,107
282,False,KeyD,23
283,True,KeyC,97
284,False,KeyO,57
285,True,KeyU,89
286,False,KeyC,33
287,False,KeyU,106
288,True,Semicolon,94
289,True,KeyE,97
290,False,Semicolon,51
291,False,KeyE,126
292,True,KeyN,30
293,True,KeyT,126
294,False,KeyN,5
295,True,KeyS,88
296,False,KeyT,48
297,False,KeyS,148
298,True,KeyM,73
299,True,Space,176
300,False,KeyM,10
301,False,Space,111
302,True,KeyQ,48
303,False,KeyQ,152
304,True,KeyS,129
305,False,KeyS,163
306,True,Space,56
307,True,KeyT,162
308,False,Space,10
309,False,KeyT,98
310,True,KeyH,45
311,True,KeyE,116
312,False,KeyH,29
313,False,KeyE,139
314,True,KeyY,623
315,True,Space,122
316,False,KeyY,23
317,False,Space,149
318,True,Semicolon,150
319,False,Semicolon,163
320,True,KeyQ,21
321,False,KeyQ,154
322,True,KeyY,101
323,False,KeyY,163
324,True,Space,47
325,False,Space,202
326,True,KeyB,424
327,False,KeyB,154
328,True,KeyE,72
329,False,KeyE,148
330,True,Space,9
331,False,Space,169
332,True,KeyQ,76
333,False,KeyQ,154
334,True,Semicolon,18
335,False,Semicolon,159
336,True,KeyE,29
337,True,KeyN,121
338,False,KeyE,16
339,True,KeyD,111
340,False,KeyN,19
341,False,KeyD,163
342,True,KeyE,91
343,False,KeyE,126
344,True,KeyD,82
345,False,KeyD,158
346,True,Space,111
347,False,Space,186
348,True,KeyF,146
349,True,KeyR,79
350,False,KeyF,136
351,True,KeyO,55
352,False,KeyR,43
353,False,KeyO,116
354,True,Semicolon,86
355,True,Space,130
356,False,Semicolon,14
357,False,Space,97
358,True,KeyT,19
359,False,KeyT,155
360,True,KeyI,31
361,True,Semicolon,167
362,False,KeyI,10
363,False,Semicolon,182
364,True,KeyE,123
365,False,KeyE,187
366,True,Space,57
367,False,Space,205
368,True,KeyT,225
369,False,KeyT,120
370,True,KeyO,53
371,True,Space,145
372,False,KeyO,18
373,False,Space,135
374,True,KeyT,24
375,True,KeyI,132
376,False,KeyT,9
377,True,Semicolon,144
378,False,KeyI,23
379,True,KeyE,163
380,False,Semicolon,5
381,False,KeyE,144
382,True,KeyM,144
383,True,Space,191
384,False,KeyM,2
385,False,Space,132
386,True,KeyZ,202
387,True,KeyH,119
388,False,KeyZ,48
389,False,KeyH,98
390,True,KeyI,68
391,True,KeyC,74
392,False,KeyI,75
393,False,KeyC,135
394,True,KeyH,16
395,True,Space,116
396,False,KeyH,24
397,False,Space,107
398,True,KeyQ,38
399,False,KeyQ,170
400,True,KeyR,14
401,True,KeyE,117
402,False,KeyR,131
403,True,Space,74
404,False,KeyE,23
405,False,Space,125
406,True,KeyH,130
407,True,KeyE,111
408,False,KeyH,38
409,True,KeyR,78
410,False,KeyE,56
411,True,KeyE,103
412,False,KeyR,93
413,False,KeyE,70
414,True,KeyB,97
415,False,KeyB,148
416,True,KeyU,200
417,False,KeyU,85
418,True,Backspace,542
419,False,Backspace,202
420,True,KeyY,437
421,False,KeyY,126
422,True,Space,40
423,False,Space,168
424,True,KeyI,187
425,False,KeyI,135
426,True,KeyN,83
427,True,KeyC,79
428,False,KeyN,37
429,True,KeyO,149
430,False,KeyC,28
431,True,KeyR,115
432,False,KeyO,11
433,False,KeyR,135
434,True,KeyP,37
435,False,KeyP,159
436,True,KeyO,90
437,True,KeyR,139
438,False,KeyO,29
439,False,KeyR,112
440,True,KeyQ,114
441,False,KeyQ,159
442,True,KeyT,98
443,True,KeyE,150
444,False,KeyT,23
445,False,KeyE,107
446,True,KeyD,76
447,False,KeyD,164
448,True,Space,21
449,False,Space,145
450,True,KeyQ,26
451,True,KeyN,122
452,False,KeyQ,5
453,True,KeyD,111
454,False,KeyN,32
455,False,KeyD,136
456,True,Space,39
457,False,Space,149
458,True,Semicolon,246
459,True,KeyQ,88
460,False,Semicolon,85
461,False,KeyQ,84
462,True,KeyD,36
463,False,KeyD,169
464,True,KeyE,93
465,True,Space,153
466,False,KeyE,10
467,False,Space,148
468,True,KeyQ,228
469,True,KeyN,130
470,False,KeyQ,29
471,False,KeyN,130
472,True,Space,8
473,False,Space,164
474,True,KeyI,147
475,False,KeyI,139
476,True,KeyN,90
477,True,KeyT,75
478,False,KeyN,52
479,True,KeyE,55
480,False,KeyT,28
481,True,KeyR,103
482,False,KeyE,158
483,False,KeyR,61
484,True,Backspace,231
485,False,Backspace,147
486,True,KeyG,46
487,True,KeyR,74
488,False,KeyG,120
489,False,KeyR,132
490,True,KeyQ,27
491,True,KeyL,210
492,False,KeyQ,2
493,False,KeyL,189
494,True,Space,21
495,False,Space,154
496,True,KeyP,99
497,True,KeyQ,80
498,False,KeyP,94
499,True,KeyR,2
500,False,KeyQ,122
501,False,KeyR,29
502,True,KeyT,86
503,True,Space,65
504,False,KeyT,14
505,False,Space,132
506,True,KeyO,307
507,True,KeyF,100
508,False,KeyO,53
509,False,KeyF,136
510,True,Space,8
511,True,KeyT,106
512,False,Space,15
513,False,KeyT,102
514,True,KeyH,5
515,False,KeyH,135
516,True,KeyI,105
517,False,KeyI,151
518,True,KeyS,4
519,True,Space,172
520,False,KeyS,5
521,False,Space,121
522,True,ShiftLeft,102
523,True,KeyQ,232
524,False,ShiftLeft,141
525,False,KeyQ,32
526,True,KeyG,127
527,True,KeyR,93
528,False,KeyG,140
529,True,KeyE,18
530,False,KeyR,89
531,False,KeyE,61
532,True,KeyE,86
533,False,KeyE,149
534,True,Semicolon,61
535,False,Semicolon,146
536,True,KeyE,105
537,True,KeyN,138
538,False,KeyE,15
539,False,KeyN,141
540,True,ShiftLeft,437
541,False,ShiftLeft,499
542,True,KeyT,280
543,False,KeyT,125
544,True,ShiftLeft,131
545,True,ShiftLeft,516
546,True,ShiftLeft,32
547,True,ShiftLeft,34
548,True,ShiftLeft,33
549,True,ShiftLeft,33
550,True,ShiftLeft,32
551,True,ShiftLeft,34
552,True,ShiftLeft,33
553,True,ShiftLeft,32
554,True,ShiftLeft,33
555,True,ShiftLeft,34
556,True,ShiftLeft,33
557,True,ShiftLeft,33
558,True,ShiftLeft,33
559,True,ShiftLeft,33
560,True,ShiftLeft,34
561,True,ShiftLeft,33
562,True,ShiftLeft,33
563,True,ShiftLeft,34
564,True,ShiftLeft,32
565,True,ShiftLeft,34
566,True,ShiftLeft,32
567,True,Comma,24
568,False,Comma,169
569,False,ShiftLeft,233
