,down,keyCode,time
0,True,ShiftLeft,168
1,True,KeyI,72
2,False,KeyI,23
3,False,ShiftLeft,83
4,True,KeyN,75
5,False,KeyN,51
6,True,Space,50
7,False,Space,140
8,True,KeyA,75
9,False,KeyA,88
10,True,KeyD,70
11,False,KeyD,41
12,True,KeyD,83
13,False,KeyD,51
14,True,KeyI,65
15,False,KeyI,54
16,True,KeyT,66
17,False,KeyT,13
18,True,KeyI,66
19,False,KeyI,78
20,True,KeyO,54
21,False,KeyO,59
22,True,KeyN,116
23,False,KeyN,201
24,True,Comma,79
25,False,Comma,0
26,True,Space,81
27,False,Space,365
28,True,ShiftLeft,200
29,True,KeyI,74
30,False,KeyI,24
31,False,ShiftLeft,86
32,True,Space,77
33,False,Space,104
34,True,KeyH,69
35,False,KeyH,58
36,True,KeyE,72
37,False,KeyE,75
38,True,KeyR,57
39,False,KeyR,59
40,True,KeyE,75
41,False,KeyE,201
42,True,KeyB,83
43,False,KeyB,31
44,True,KeyZ,91
45,False,KeyZ,447
46,True,Space,70
47,False,Space,121
48,True,KeyA,77
49,False,KeyA,461
50,True,KeyC,62
51,False,KeyC,90
52,True,KeyK,72
53,False,KeyK,134
54,True,KeyN,72
55,False,KeyN,65
56,True,KeyO,83
57,False,KeyO,343
58,True,KeyW,63
59,False,KeyW,124
60,True,KeyL,60
61,False,KeyL,50
62,True,KeyE,53
63,False,KeyE,80
64,True,KeyD,63
65,False,KeyD,118
66,True,KeyG,46
67,False,KeyG,98
68,True,KeyE,75
69,False,KeyE,420
70,True,Space,69
71,False,Space,184
72,True,KeyT,85
73,False,KeyT,4
74,True,KeyH,75
75,False,KeyH,50
76,True,KeyA,87
77,False,KeyA,136
78,True,KeyT,72
79,False,KeyT,32
80,True,Space,72
81,False,Space,135
82,True,ShiftLeft,174
83,True,KeyI,72
84,False,KeyI,33
85,False,ShiftLeft,74
86,True,Space,75
87,False,Space,79
88,True,KeyH,75
89,False,KeyH,31
90,True,KeyA,72
91,False,KeyA,34
92,True,KeyV,75
93,False,KeyV,61
94,True,KeyE,79
95,False,KeyE,513
96,True,Space,62
97,False,Space,129
98,True,KeyR,67
99,False,KeyR,72
100,True,KeyE,68
101,False,KeyE,95
102,True,KeyA,76
103,False,KeyA,81
104,True,KeyD,72
105,False,KeyD,23
106,True,Space,91
107,False,Space,13
108,True,KeyA,72
109,False,KeyA,36
110,True,KeyN,69
111,False,KeyN,39
112,True,KeyD,66
113,False,KeyD,120
114,True,Space,79
115,False,Space,403
116,True,KeyU,79
117,False,KeyU,82
118,True,KeyN,82
119,False,KeyN,96
120,True,KeyD,72
121,False,KeyD,70
122,True,KeyE,73
123,False,KeyE,60
124,True,KeyR,73
125,False,KeyR,93
126,True,KeyS,82
127,False,KeyS,133
128,True,KeyT,65
129,False,KeyT,78
130,True,KeyO,65
131,False,KeyO,61
132,True,KeyO,77
133,False,KeyO,701
134,True,KeyD,73
135,False,KeyD,38
136,True,Space,86
137,False,Space,36
138,True,KeyA,72
139,False,KeyA,47
140,True,KeyN,72
141,False,KeyN,18
142,True,KeyD,73
143,False,KeyD,34
144,True,Space,77
145,False,Space,283
146,True,KeyA,94
147,False,KeyA,171
148,True,KeyG,61
149,False,KeyG,92
150,True,KeyR,66
151,False,KeyR,87
152,True,KeyE,66
153,False,KeyE,60
154,True,KeyE,80
155,False,KeyE,200
156,True,Space,64
157,False,Space,842
158,True,KeyT,66
159,False,KeyT,66
160,True,KeyO,65
161,False,KeyO,31
162,True,Space,80
163,False,Space,338
164,True,KeyB,72
165,False,KeyB,111
166,True,KeyE,73
167,False,KeyE,38
168,True,Space,68
169,False,Space,98
170,True,KeyB,69
171,False,KeyB,44
172,True,KeyO,78
173,False,KeyO,177
174,True,KeyU,82
175,False,KeyU,276
176,True,KeyN,79
177,False,KeyN,10
178,True,KeyD,79
179,False,KeyD,22
180,True,Space,79
181,False,Space,842
182,True,KeyB,99
183,False,KeyB,3
184,True,KeyZ,76
185,False,KeyZ,6
186,True,Space,78
187,False,Space,105
188,True,KeyT,69
189,False,KeyT,17
190,True,KeyH,72
191,False,KeyH,25
192,True,KeyE,78
193,False,KeyE,11
194,True,Space,86
195,False,Space,100
196,True,KeyT,72
197,False,KeyT,125
198,True,KeyE,74
199,False,KeyE,69
200,True,KeyR,84
201,False,KeyR,339
202,True,KeyM,78
203,False,KeyM,27
204,True,KeyS,76
205,False,KeyS,26
206,True,Space,82
207,False,Space,62
208,True,KeyA,77
209,False,KeyA,61
210,True,KeyN,82
211,False,KeyN,75
212,True,KeyD,70
213,False,KeyD,57
214,True,Space,72
215,False,Space,95
216,True,KeyC,62
217,False,KeyC,48
218,True,KeyO,79
219,False,KeyO,74
220,True,KeyN,81
221,False,KeyN,75
222,True,KeyD,88
223,False,KeyD,28
224,True,KeyI,72
225,False,KeyI,145
226,True,KeyT,76
227,False,KeyT,27
228,True,KeyI,79
229,False,KeyI,78
230,True,KeyO,79
231,False,KeyO,536
232,True,KeyN,68
233,False,KeyN,27
234,True,KeyS,66
235,False,KeyS,18
236,True,Space,82
237,False,Space,286
238,True,KeyO,76
239,False,KeyO,48
240,True,KeyF,76
241,False,KeyF,4
242,True,Space,92
243,False,Space,21
244,True,KeyT,73
245,False,KeyT,3
246,True,KeyH,73
247,False,KeyH,16
248,True,KeyE,83
249,False,KeyE,11
250,True,Space,90
251,False,Space,75
252,True,KeyF,71
253,False,KeyF,52
254,True,KeyO,77
255,False,KeyO,89
256,True,KeyL,81
257,False,KeyL,67
258,True,KeyL,95
259,False,KeyL,22
260,True,KeyO,83
261,False,KeyO,196
262,True,KeyW,80
263,False,KeyW,225
264,True,KeyI,69
265,False,KeyI,42
266,True,KeyN,75
267,True,KeyG,20
268,False,KeyN,56
269,False,KeyG,295
270,True,Space,87
271,False,Space,361
272,True,KeyD,66
273,False,KeyD,109
274,True,KeyO,78
275,False,KeyO,312
276,True,KeyC,68
277,False,KeyC,17
278,True,KeyU,63
279,False,KeyU,102
280,True,KeyM,82
281,False,KeyM,21
282,True,KeyE,75
283,False,KeyE,18
284,True,KeyN,86
285,False,KeyN,7
286,True,KeyT,78
287,False,KeyT,300
288,True,KeyS,82
289,False,KeyS,249
290,True,Comma,79
291,False,Comma,36
292,True,Space,72
293,False,Space,275
294,True,KeyA,56
295,False,KeyA,70
296,True,KeyS,78
297,False,KeyS,39
298,True,Space,78
299,False,Space,45
300,True,KeyT,73
301,False,KeyT,26
302,True,KeyH,72
303,False,KeyH,10
304,True,KeyE,63
305,False,KeyE,154
306,True,KeyZ,96
307,False,KeyZ,50
308,True,Space,86
309,False,Space,23
310,True,KeyA,91
311,False,KeyA,304
312,True,KeyA,76
313,False,KeyA,84
314,True,KeyZ,88
315,False,KeyZ,228
316,True,Space,42
317,False,Space,160
318,True,KeyB,77
319,False,KeyB,27
320,True,KeyE,73
321,False,KeyE,640
322,True,Space,79
323,False,Space,110
324,True,KeyA,80
325,False,KeyA,96
326,True,KeyM,83
327,False,KeyM,48
328,True,KeyE,68
329,False,KeyE,165
330,True,KeyN,72
331,False,KeyN,64
332,True,KeyD,82
333,False,KeyD,68
334,True,KeyE,65
335,False,KeyE,60
336,True,KeyD,85
337,False,KeyD,314
338,True,Space,69
339,False,Space,126
340,True,KeyF,64
341,False,KeyF,78
342,True,KeyR,64
343,True,KeyO,17
344,False,KeyR,36
345,False,KeyO,47
346,True,KeyM,89
347,False,KeyM,30
348,True,Space,82
349,False,Space,645
350,True,KeyT,63
351,False,KeyT,28
352,True,KeyI,63
353,False,KeyI,65
354,True,KeyM,92
355,False,KeyM,7
356,True,KeyE,72
357,False,KeyE,17
358,True,Space,65
359,False,Space,71
360,True,KeyT,68
361,False,KeyT,34
362,True,KeyO,59
363,False,KeyO,70
364,True,Space,85
365,False,Space,230
366,True,KeyT,71
367,False,KeyT,37
368,True,KeyI,69
369,False,KeyI,94
370,True,KeyM,80
371,False,KeyM,3
372,True,KeyE,77
373,False,KeyE,787
374,True,Comma,66
375,False,Comma,14
376,True,Space,69
377,False,Space,158
378,True,KeyW,76
379,False,KeyW,196
380,True,KeyH,71
381,False,KeyH,70
382,True,KeyI,73
383,False,KeyI,214
384,True,KeyC,68
385,False,KeyC,19
386,True,KeyH,79
387,False,KeyH,29
388,True,Space,73
389,False,Space,564
390,True,KeyA,92
391,False,KeyA,126
392,True,KeyR,56
393,False,KeyR,71
394,True,KeyE,75
395,False,KeyE,17
396,True,Space,65
397,False,Space,77
398,True,KeyH,72
399,False,KeyH,27
400,True,KeyE,73
401,False,KeyE,57
402,True,KeyR,58
403,False,KeyR,71
404,True,KeyE,76
405,False,KeyE,239
406,True,KeyB,80
407,False,KeyB,3
408,True,KeyZ,86
409,False,KeyZ,71
410,True,Space,118
411,False,Space,488
412,True,KeyI,69
413,False,KeyI,77
414,True,KeyN,79
415,False,KeyN,94
416,True,KeyC,69
417,False,KeyC,457
418,True,KeyO,66
419,False,KeyO,35
420,True,KeyR,69
421,False,KeyR,189
422,True,KeyP,74
423,False,KeyP,113
424,True,KeyO,59
425,False,KeyO,119
426,True,KeyR,66
427,False,KeyR,110
428,True,KeyA,86
429,False,KeyA,167
430,True,KeyT,72
431,False,KeyT,466
432,True,KeyE,53
433,False,KeyE,78
434,True,KeyD,85
435,False,KeyD,40
436,True,Space,91
437,False,Space,20
438,True,KeyA,86
439,False,KeyA,40
440,True,KeyN,78
441,False,KeyN,32
442,True,KeyD,72
443,False,KeyD,34
444,True,Space,76
445,False,Space,107
446,True,KeyM,92
447,False,KeyM,3
448,True,KeyA,66
449,False,KeyA,125
450,True,KeyD,74
451,False,KeyD,76
452,True,KeyE,90
453,False,KeyE,578
454,True,Space,85
455,False,Space,111
456,True,KeyA,76
457,False,KeyA,17
458,True,KeyN,75
459,False,KeyN,72
460,True,Space,63
461,False,Space,90
462,True,KeyI,92
463,False,KeyI,423
464,True,KeyN,79
465,False,KeyN,75
466,True,KeyT,65
467,False,KeyT,116
468,True,KeyE,72
469,False,KeyE,328
470,True,KeyG,91
471,False,KeyG,105
472,True,KeyR,72
473,False,KeyR,173
474,True,KeyA,92
475,False,KeyA,44
476,True,KeyL,72
477,False,KeyL,111
478,True,Space,71
479,False,Space,158
480,True,KeyP,80
481,True,KeyA,3
482,False,KeyP,75
483,False,KeyA,129
484,True,KeyR,58
485,False,KeyR,65
486,True,KeyT,75
487,False,KeyT,28
488,True,Space,63
489,False,Space,169
490,True,KeyO,69
491,False,KeyO,29
492,True,KeyF,70
493,False,KeyF,33
494,True,Space,66
495,False,Space,444
496,True,KeyT,72
497,False,KeyT,94
498,True,KeyH,81
499,False,KeyH,111
500,True,KeyI,76
501,False,KeyI,42
502,True,KeyS,90
503,False,KeyS,21
504,True,Space,73
505,False,Space,158
506,True,ShiftLeft,173
507,True,KeyA,109
508,False,KeyA,10
509,False,ShiftLeft,255
510,True,KeyG,69
511,False,KeyG,108
512,True,KeyR,59
513,False,KeyR,88
514,True,KeyE,76
515,False,KeyE,197
516,True,KeyE,42
517,False,KeyE,1034
518,True,KeyM,88
519,False,KeyM,12
520,True,KeyE,85
521,False,KeyE,15
522,True,KeyN,79
523,False,KeyN,18
524,True,KeyT,79
525,False,KeyT,620
526,True,Period,60
