down,keyCode,hours,minutes,seconds,milliseconds
true,ShiftLeft,10,38,21,791
true,KeyI,10,38,21,917
false,ShiftLeft,10,38,21,942
false,KeyI,10,38,22,5
true,KeyN,10,38,22,85
false,KeyN,10,38,22,163
true,Space,10,38,22,201
true,KeyQ,10,38,22,256
false,Space,10,38,22,294
false,KeyQ,10,38,22,346
true,KeyD,10,38,22,563
false,KeyD,10,38,22,689
true,KeyD,10,38,22,731
false,KeyD,10,38,22,865
true,KeyI,10,38,23,81
false,KeyI,10,38,23,188
true,KeyT,10,38,23,233
true,KeyI,10,38,23,313
false,KeyT,10,38,23,346
false,KeyI,10,38,23,396
true,KeyO,10,38,23,425
false,KeyO,10,38,23,523
true,KeyN,10,38,23,639
false,KeyN,10,38,23,715
true,KeyM,10,38,23,957
false,KeyM,10,38,24,42
true,Space,10,38,24,107
false,Space,10,38,24,197
true,ShiftLeft,10,38,24,330
true,KeyI,10,38,24,413
false,ShiftLeft,10,38,24,483
false,KeyI,10,38,24,497
true,Space,10,38,24,576
false,Space,10,38,24,656
true,KeyH,10,38,24,737
true,KeyE,10,38,24,796
false,KeyH,10,38,24,830
false,KeyE,10,38,24,905
true,KeyR,10,38,24,948
false,KeyR,10,38,25,148
true,KeyE,10,38,25,328
false,KeyE,10,38,25,473
true,KeyB,10,38,25,914
false,KeyB,10,38,26,8
true,KeyY,10,38,26,107
false,KeyY,10,38,26,215
true,Space,10,38,26,960
false,Space,10,38,27,86
true,KeyQ,10,38,27,109
false,KeyQ,10,38,27,216
true,KeyC,10,38,27,334
false,KeyC,10,38,27,479
true,KeyK,10,38,27,504
false,KeyK,10,38,27,607
true,KeyN,10,38,27,747
false,KeyN,10,38,27,840
true,KeyO,10,38,28,95
false,KeyO,10,38,28,189
true,KeyZ,10,38,28,252
true,KeyL,10,38,28,335
false,KeyZ,10,38,28,401
false,KeyL,10,38,28,434
true,KeyO,10,38,28,486
false,KeyO,10,38,28,534
true,Backspace,10,38,28,863
false,Backspace,10,38,28,966
true,KeyE,10,38,30,815
false,KeyE,10,38,30,927
true,KeyD,10,38,30,981
false,KeyD,10,38,31,97
true,KeyG,10,38,31,483
false,KeyG,10,38,31,581
true,KeyE,10,38,31,663
false,KeyE,10,38,31,765
true,Space,10,38,32,175
false,Space,10,38,32,291
true,KeyT,10,38,32,695
false,KeyT,10,38,32,781
true,KeyH,10,38,32,838
false,KeyH,10,38,32,942
true,KeyQ,10,38,32,956
true,KeyT,10,38,33,35
false,KeyQ,10,38,33,82
false,KeyT,10,38,33,109
true,Space,10,38,33,183
false,Space,10,38,33,309
true,ShiftLeft,10,38,33,544
true,KeyI,10,38,33,729
false,ShiftLeft,10,38,33,815
false,KeyI,10,38,33,818
true,Space,10,38,33,905
false,Space,10,38,33,993
true,KeyH,10,38,34,78
true,KeyQ,10,38,34,133
false,KeyH,10,38,34,175
false,KeyQ,10,38,34,264
true,KeyV,10,38,34,273
false,KeyV,10,38,34,371
true,KeyE,10,38,34,375
true,Space,10,38,34,472
false,KeyE,10,38,34,523
false,Space,10,38,34,565
true,KeyR,10,38,34,675
false,KeyR,10,38,34,815
true,KeyE,10,38,34,880
false,KeyE,10,38,35,2
true,KeyQ,10,38,35,80
false,KeyQ,10,38,35,196
true,KeyD,10,38,35,266
true,Space,10,38,35,354
false,KeyD,10,38,35,392
false,Space,10,38,35,466
true,KeyQ,10,38,35,517
true,KeyN,10,38,35,624
false,KeyQ,10,38,35,629
true,KeyD,10,38,35,726
false,KeyN,10,38,35,729
true,Space,10,38,35,801
false,KeyD,10,38,35,861
false,Space,10,38,35,902
true,KeyU,10,38,36,169
false,KeyU,10,38,36,267
true,KeyN,10,38,36,425
true,KeyD,10,38,36,522
false,KeyN,10,38,36,532
false,KeyD,10,38,36,644
true,KeyE,10,38,36,708
false,KeyE,10,38,36,834
true,KeyR,10,38,36,872
false,KeyR,10,38,36,984
true,KeyS,10,38,37,44
true,KeyT,10,38,37,108
