down,keyCode,hours,minutes,seconds,milliseconds
true,ShiftLeft,23,3,32,73
true,KeyI,23,3,32,331
false,KeyI,23,3,32,418
false,ShiftLeft,23,3,32,439
true,KeyN,23,3,32,521
false,KeyN,23,3,32,598
true,Space,23,3,32,712
true,KeyA,23,3,32,779
false,Space,23,3,32,795
false,KeyA,23,3,32,878
true,KeyD,23,3,32,989
false,KeyD,23,3,33,43
true,KeyD,23,3,33,128
true,KeyI,23,3,33,168
false,KeyD,23,3,33,253
false,KeyI,23,3,33,257
true,KeyT,23,3,33,404
true,KeyI,23,3,33,508
false,KeyT,23,3,33,524
false,KeyI,23,3,33,593
true,KeyO,23,3,33,652
true,KeyN,23,3,33,755
false,KeyO,23,3,33,772
false,KeyN,23,3,33,868
true,Comma,23,3,34,130
false,Comma,23,3,34,212
true,Space,23,3,34,313
false,Space,23,3,34,402
true,ShiftLeft,23,3,34,451
true,KeyI,23,3,34,595
false,ShiftLeft,23,3,34,667
false,KeyI,23,3,34,670
true,Space,23,3,34,786
false,Space,23,3,34,874
true,KeyH,23,3,34,972
false,KeyH,23,3,35,41
true,KeyE,23,3,35,136
false,KeyE,23,3,35,242
true,KeyR,23,3,35,301
false,KeyR,23,3,35,454
true,KeyE,23,3,35,458
false,KeyE,23,3,35,586
true,KeyB,23,3,35,642
false,KeyB,23,3,35,746
true,KeyY,23,3,35,831
false,KeyY,23,3,35,932
true,Space,23,3,36,90
false,Space,23,3,36,186
true,KeyA,23,3,36,863
false,KeyA,23,3,36,965
true,KeyC,23,3,37,22
false,KeyC,23,3,37,182
true,KeyK,23,3,37,211
false,KeyK,23,3,37,284
true,KeyN,23,3,37,390
false,KeyN,23,3,37,468
true,KeyO,23,3,37,547
false,KeyO,23,3,37,647
true,KeyW,23,3,37,697
false,KeyW,23,3,37,790
true,KeyL,23,3,37,901
false,KeyL,23,3,37,995
true,KeyE,23,3,38,29
false,KeyE,23,3,38,103
true,KeyD,23,3,38,243
false,KeyD,23,3,38,331
true,KeyG,23,3,38,357
false,KeyG,23,3,38,458
true,KeyE,23,3,38,514
false,KeyE,23,3,38,670
true,Space,23,3,39,75
false,Space,23,3,39,181
true,KeyT,23,3,39,591
false,KeyT,23,3,39,702
true,KeyH,23,3,39,710
false,KeyH,23,3,39,787
true,KeyA,23,3,39,882
true,KeyT,23,3,40,47
false,KeyA,23,3,40,81
false,KeyT,23,3,40,169
true,Space,23,3,40,215
false,Space,23,3,40,322
true,ShiftLeft,23,3,40,440
true,KeyI,23,3,40,581
false,KeyI,23,3,40,651
false,ShiftLeft,23,3,40,742
true,Space,23,3,40,834
false,Space,23,3,40,919
true,KeyH,23,3,41,28
false,KeyH,23,3,41,109
true,KeyA,23,3,41,140
false,KeyA,23,3,41,270
true,KeyV,23,3,41,284
false,KeyV,23,3,41,359
true,KeyE,23,3,41,480
false,KeyE,23,3,41,578
true,Space,23,3,41,750
false,Space,23,3,41,826
true,KeyR,23,3,41,917
true,KeyE,23,3,42,49
false,KeyR,23,3,42,70
true,KeyA,23,3,42,207
false,KeyE,23,3,42,248
false,KeyA,23,3,42,379
true,KeyD,23,3,42,426
true,Space,23,3,42,574
false,KeyD,23,3,42,582
false,Space,23,3,42,662
true,KeyA,23,3,42,710
false,KeyA,23,3,42,812
true,KeyN,23,3,42,823
false,KeyN,23,3,42,908
true,KeyD,23,3,43,294
false,KeyD,23,3,43,422
true,Space,23,3,43,537
false,Space,23,3,43,634
true,KeyU,23,3,43,833
false,KeyU,23,3,43,903
true,KeyN,23,3,44,6
false,KeyN,23,3,44,96
true,KeyD,23,3,44,125
false,KeyD,23,3,44,201
true,KeyE,23,3,44,413
false,KeyE,23,3,44,576
true,KeyR,23,3,44,580
false,KeyR,23,3,44,715
true,KeyS,23,3,44,780
false,KeyS,23,3,44,937
true,KeyT,23,3,44,959
false,KeyT,23,3,45,74
true,KeyO,23,3,45,137
false,KeyO,23,3,45,200
true,KeyO,23,3,45,302
false,KeyO,23,3,45,396
true,KeyD,23,3,45,452
false,KeyD,23,3,45,573
true,Space,23,3,45,623
false,Space,23,3,45,709
true,KeyA,23,3,45,781
false,KeyA,23,3,45,891
true,KeyN,23,3,45,894
false,KeyN,23,3,45,965
true,KeyD,23,3,46,35
false,KeyD,23,3,46,105
true,Space,23,3,46,155
false,Space,23,3,46,262
true,KeyA,23,3,46,308
false,KeyA,23,3,46,455
true,KeyG,23,3,46,481
false,KeyG,23,3,46,596
true,KeyR,23,3,46,771
false,KeyR,23,3,46,854
true,KeyE,23,3,46,939
false,KeyE,23,3,47,19
true,KeyE,23,3,47,128
false,KeyE,23,3,47,217
true,Space,23,3,48,26
false,Space,23,3,48,136
true,KeyT,23,3,48,209
false,KeyT,23,3,48,295
true,KeyO,23,3,48,337
false,KeyO,23,3,48,418
true,Space,23,3,48,507
false,Space,23,3,48,593
true,KeyB,23,3,48,694
true,KeyE,23,3,48,755
false,KeyB,23,3,48,768
false,KeyE,23,3,48,837
true,Space,23,3,48,908
false,Space,23,3,48,996
true,KeyB,23,3,49,128
false,KeyB,23,3,49,233
true,KeyO,23,3,49,316
false,KeyO,23,3,49,415
true,KeyU,23,3,49,484
false,KeyU,23,3,49,572
true,KeyN,23,3,49,684
false,KeyN,23,3,49,771
true,KeyD,23,3,49,835
false,KeyD,23,3,49,930
true,Space,23,3,49,941
false,Space,23,3,50,37
true,KeyB,23,3,50,167
false,KeyB,23,3,50,250
true,KeyY,23,3,50,370
false,KeyY,23,3,50,447
true,Space,23,3,50,564
false,Space,23,3,50,672
true,KeyT,23,3,50,727
false,KeyT,23,3,50,828
true,KeyH,23,3,50,829
false,KeyH,23,3,50,901
true,KeyE,23,3,50,948
false,KeyE,23,3,51,72
true,Space,23,3,51,132
false,Space,23,3,51,233
true,KeyT,23,3,51,270
false,KeyT,23,3,51,366
true,KeyE,23,3,51,382
true,KeyR,23,3,51,545
false,KeyE,23,3,51,566
false,KeyR,23,3,51,675
true,KeyM,23,3,51,781
false,KeyM,23,3,51,881
true,KeyS,23,3,51,994
false,KeyS,23,3,52,91
true,Space,23,3,52,162
false,Space,23,3,52,254
true,KeyA,23,3,52,294
false,KeyA,23,3,52,391
true,KeyN,23,3,52,443
false,KeyN,23,3,52,523
true,KeyD,23,3,52,578
false,KeyD,23,3,52,633
true,Space,23,3,52,677
false,Space,23,3,52,769
true,KeyC,23,3,52,834
false,KeyC,23,3,52,922
true,KeyO,23,3,52,943
false,KeyO,23,3,53,28
true,KeyN,23,3,53,119
false,KeyN,23,3,53,201
true,KeyD,23,3,53,262
false,KeyD,23,3,53,353
true,KeyI,23,3,53,383
false,KeyI,23,3,53,477
true,KeyT,23,3,53,525
false,KeyT,23,3,53,589
true,KeyI,23,3,53,645
false,KeyI,23,3,53,721
true,KeyO,23,3,53,756
false,KeyO,23,3,53,888
true,KeyN,23,3,53,911
false,KeyN,23,3,54,19
true,KeyS,23,3,54,81
false,KeyS,23,3,54,185
true,Space,23,3,54,196
false,Space,23,3,54,305
true,KeyO,23,3,54,493
false,KeyO,23,3,54,594
true,KeyF,23,3,54,638
false,KeyF,23,3,54,727
true,Space,23,3,54,748
false,Space,23,3,54,842
true,KeyT,23,3,54,904
false,KeyT,23,3,54,993
true,KeyH,23,3,55,11
false,KeyH,23,3,55,97
true,KeyE,23,3,55,208
false,KeyE,23,3,55,313
true,Space,23,3,55,385
false,Space,23,3,55,486
true,KeyF,23,3,55,502
false,KeyF,23,3,55,583
true,KeyO,23,3,55,700
false,KeyO,23,3,55,779
true,KeyL,23,3,55,923
false,KeyL,23,3,56,9
true,KeyL,23,3,56,140
false,KeyL,23,3,56,212
true,KeyO,23,3,56,377
false,KeyO,23,3,56,467
true,KeyW,23,3,56,522
false,KeyW,23,3,56,598
true,KeyI,23,3,56,664
false,KeyI,23,3,56,730
true,KeyN,23,3,56,832
false,KeyN,23,3,56,918
true,KeyG,23,3,56,954
false,KeyG,23,3,57,41
true,Space,23,3,57,100
false,Space,23,3,57,199
true,KeyD,23,3,58,140
false,KeyD,23,3,58,244
true,KeyO,23,3,58,947
false,KeyO,23,3,59,28
true,KeyC,23,3,59,201
false,KeyC,23,3,59,291
true,KeyU,23,3,59,357
false,KeyU,23,3,59,430
true,KeyM,23,3,59,615
false,KeyM,23,3,59,701
true,KeyE,23,3,59,767
false,KeyE,23,3,59,892
true,KeyN,23,3,59,921
false,KeyN,23,3,59,999
true,KeyT,23,4,0,386
false,KeyT,23,4,0,500
true,KeyS,23,4,0,635
false,KeyS,23,4,0,787
true,Comma,23,4,1,253
false,Comma,23,4,1,325
true,Space,23,4,1,515
false,Space,23,4,1,590
true,KeyA,23,4,1,818
false,KeyA,23,4,1,917
true,KeyS,23,4,2,10
false,KeyS,23,4,2,121
true,Space,23,4,2,134
false,Space,23,4,2,240
true,KeyT,23,4,2,292
false,KeyT,23,4,2,395
true,KeyH,23,4,2,425
false,KeyH,23,4,2,496
true,KeyE,23,4,2,526
false,KeyE,23,4,2,633
true,KeyY,23,4,2,748
false,KeyY,23,4,2,827
true,Space,23,4,2,969
false,Space,23,4,3,49
true,KeyM,23,4,3,404
false,KeyM,23,4,3,507
true,KeyA,23,4,3,558
false,KeyA,23,4,3,661
true,KeyY,23,4,3,740
false,KeyY,23,4,3,812
true,Space,23,4,3,933
false,Space,23,4,4,10
true,KeyB,23,4,4,124
false,KeyB,23,4,4,189
true,KeyE,23,4,4,213
false,KeyE,23,4,4,314
true,Space,23,4,4,399
false,Space,23,4,4,496
true,KeyA,23,4,4,609
false,KeyA,23,4,4,723
true,KeyM,23,4,4,786
false,KeyM,23,4,4,886
true,KeyE,23,4,5,89
false,KeyE,23,4,5,180
true,KeyN,23,4,5,367
false,KeyN,23,4,5,419
true,KeyD,23,4,5,727
false,KeyD,23,4,5,833
true,KeyE,23,4,6,2
false,KeyE,23,4,6,100
true,KeyD,23,4,6,281
false,KeyD,23,4,6,409
true,Space,23,4,6,472
false,Space,23,4,6,573
true,KeyF,23,4,6,932
false,KeyF,23,4,7,114
true,KeyR,23,4,7,115
true,KeyO,23,4,7,202
false,KeyR,23,4,7,230
false,KeyO,23,4,7,306
true,KeyM,23,4,7,399
false,KeyM,23,4,7,479
true,Space,23,4,7,603
false,Space,23,4,7,687
true,KeyT,23,4,7,705
false,KeyT,23,4,7,796
true,KeyI,23,4,7,848
false,KeyI,23,4,7,924
true,KeyM,23,4,8,21
false,KeyM,23,4,8,124
true,KeyE,23,4,8,125
false,KeyE,23,4,8,233
true,Space,23,4,8,287
false,Space,23,4,8,397
true,KeyT,23,4,8,460
false,KeyT,23,4,8,542
true,KeyO,23,4,8,559
false,KeyO,23,4,8,645
true,Space,23,4,8,751
false,Space,23,4,8,848
true,KeyT,23,4,8,849
false,KeyT,23,4,8,925
true,KeyI,23,4,8,993
false,KeyI,23,4,9,72
true,KeyM,23,4,9,201
false,KeyM,23,4,9,285
true,KeyE,23,4,9,320
false,KeyE,23,4,9,433
true,Comma,23,4,9,522
false,Comma,23,4,9,619
true,Space,23,4,9,769
false,Space,23,4,9,849
true,KeyW,23,4,9,892
false,KeyW,23,4,9,996
true,KeyH,23,4,10,94
false,KeyH,23,4,10,175
true,KeyI,23,4,10,233
false,KeyI,23,4,10,331
true,KeyC,23,4,10,402
false,KeyC,23,4,10,515
true,KeyH,23,4,10,517
false,KeyH,23,4,10,590
true,Space,23,4,10,776
false,Space,23,4,10,862
true,KeyA,23,4,10,922
false,KeyA,23,4,11,63
true,KeyR,23,4,11,106
true,KeyE,23,4,11,266
false,KeyR,23,4,11,292
false,KeyE,23,4,11,414
true,Space,23,4,11,449
false,Space,23,4,11,542
true,KeyH,23,4,11,683
false,KeyH,23,4,11,758
true,KeyE,23,4,11,796
